,,Year Model ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
make,model,1973 & OLDER ,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,TOTAL
CHEVROLET ,C20 ,0,10299,7844,11306,16201,15591,14042,7791,10856,12916,13802,21092,24630,24082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190452
CHEVROLET ,C30 ,0,5124,5236,6100,8523,9689,13470,9175,9319,11392,9427,12358,14015,17923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131751
CHEVROLET ,CAMARO ,0,3731,3767,5546,8186,14214,27672,14914,15165,17953,21148,44016,39035,56047,46883,40137,55571,19446,61228,47040,27359,91500,96700,49883,46342,42231,34667,40029,26067,38061,0,0,0,0,1034538
CHEVROLET ,CAPRICE ,0,3186,5180,4724,12877,14817,19234,8027,10010,13926,29486,53240,54525,66187,67539,58774,74893,34778,94226,53505,48610,57876,56120,56739,0,0,0,0,0,0,0,0,0,0,898479
CHEVROLET ,CORVETTE ,0,14573,16037,20294,22808,22027,25629,18482,20558,14513,0,29016,23495,22944,20864,15453,18861,16414,14207,15473,17788,19311,17335,18779,8236,26615,28448,29998,32197,32711,32254,33000,23701,22,672043
CHEVROLET ,EL CAMINO ,0,162,161,215,229,9813,11675,9066,9446,7278,8284,10303,11252,9578,8399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95861
CHEVROLET ,EL CAMINO CLASC ,0,1955,1677,3086,4848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11566
CHEVROLET ,G10 ,0,841,1516,2150,2164,3042,4157,2187,2065,2519,2766,3880,3739,4379,3049,4245,3601,3180,2440,2663,2886,2484,5778,1342,4293,4093,0,0,0,0,0,0,0,0,75459
CHEVROLET ,G10 SPORTVAN ,0,79,102,59,207,324,451,153,151,213,260,382,361,354,259,293,289,213,139,168,119,0,0,0,0,0,0,0,0,0,0,0,0,0,4576
CHEVROLET ,G20 ,0,814,1264,2159,3765,6628,8652,2276,2996,4503,6529,9021,10381,10691,9462,8628,10693,8561,6161,6921,7909,8789,21206,3700,9677,11541,0,0,0,0,0,0,0,0,182927
CHEVROLET ,G20 SPORTVAN ,0,362,480,652,1490,1773,2053,621,821,1167,2039,3208,3442,3487,2661,2970,3038,2403,1692,1713,1254,1586,2417,0,0,0,0,0,0,0,0,0,0,0,41329
CHEVROLET ,G30 ,0,1066,1392,2219,1931,5529,6296,1888,4065,6822,6176,13169,12083,8207,8879,9858,11016,7171,5806,5832,7502,6926,18576,10752,10363,12854,0,0,0,0,0,0,0,0,186378
CHEVROLET ,G30 SPORTVAN ,0,191,177,267,450,446,644,400,450,401,574,1131,1534,1399,1082,1621,1484,938,909,1028,1049,904,1423,540,0,0,0,0,0,0,0,0,0,0,19042
CHEVROLET ,IMPALA ,0,4018,3609,5208,11565,13007,15545,5453,5852,6134,6207,9799,9965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184774,177767,192241,248504,273691,216709,721,1390769
CHEVROLET ,K10 ,0,5041,7430,15022,19875,27009,30242,14164,11439,14843,21497,34947,38970,43168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283647
CHEVROLET ,K20 ,0,5401,6490,10437,12630,14549,14417,9388,7368,8537,11886,18076,19022,19733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157934
CHEVROLET ,LUV ,0,568,839,1703,1143,2744,4954,5819,4183,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23931
CHEVROLET ,MALIBU ,0,3534,3612,6153,6761,14227,21104,16741,17039,7828,12384,0,0,0,0,0,0,0,0,0,0,0,0,0,87749,203832,192004,199043,173875,137013,170602,94595,128523,0,1496619
CHEVROLET ,MONTE CARLO ,0,3054,3322,6398,9362,10875,11914,7169,11796,6806,13432,30810,36204,46101,36369,15913,0,0,0,0,0,0,78454,70274,64777,61256,63255,57980,65964,66423,66189,60742,30533,0,935372
CHEVROLET ,NOVA ,0,11464,6901,10969,14265,13418,5129,0,0,0,0,0,3464,34538,39327,39944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179419
CHEVROLET ,P10 ,0,195,88,106,148,147,157,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933
CHEVROLET ,P20 ,0,506,360,392,516,448,468,146,628,355,234,173,185,108,120,115,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4780
CHEVROLET ,P30 ,0,1537,1484,2454,4822,3990,5087,2681,4221,6266,7545,12570,11688,9297,8922,7271,5348,4577,4233,4484,5373,5630,6567,2643,3210,2695,2373,0,0,0,0,0,0,0,136968
CHEVROLET ,VEGA ,0,879,946,1088,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3523
CHRYSLER ,NEW YORKER ,0,398,348,916,1985,1551,1593,457,443,5652,1939,5291,8580,10546,17815,34459,46614,51096,39423,38677,38374,32003,16874,2864,0,0,0,0,0,0,0,0,0,0,357898
CHRYSLER ,NEWPORT ,0,676,662,759,1263,888,2751,481,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7684
DODGE ,B100 ,0,1071,721,793,1947,780,1458,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7434
DODGE ,B100 SPORTSMAN ,0,121,100,82,190,57,123,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779
DODGE ,B200 ,0,667,1422,1733,5959,2804,5471,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19207
DODGE ,B200 MAXI ,0,283,343,426,1535,1037,1192,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4980
DODGE ,B200 MAXI WAGON ,0,139,151,160,307,210,170,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171
DODGE ,B200 SPORTSMAN ,0,322,453,429,1075,549,807,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4020
DODGE ,B300 ,0,1297,216,212,396,241,237,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2686
DODGE ,B300 MAXI ,0,365,355,367,951,585,588,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3480
DODGE ,B300 MAXI WAGON ,0,325,349,364,870,588,617,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3793
DODGE ,B300 SPORTSMAN ,0,97,107,117,171,130,111,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877
DODGE ,CB300 ,0,257,146,287,502,111,506,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
DODGE ,CHALLENGER ,0,1205,0,0,0,205,78,151,252,348,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2603
DODGE ,CHARGER ,0,2168,110,286,451,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6366,9415
