"STATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USC00307134","2025-01-01",,,"0.59","0.0","0.0",,"53","42","43"
"USC00307134","2025-01-02",,,"0.00","0.0","0.0",,"43","37","39"
"USC00307134","2025-01-03",,,"0.00","0.0","0.0",,"39","32","36"
"USC00307134","2025-01-04",,,"0.00","0.0","0.0",,"36","29","31"
"USC00307134","2025-01-05",,,"0.00","0.0","0.0",,"33","28","31"
"USC00307134","2025-01-06",,,"0.03","0.5","0.0",,"31","26","28"
"USC00307134","2025-01-07",,,"0.00","0.0","0.0",,"33","18","32"
"USC00307134","2025-01-08",,,"0.00","0.0","0.0",,"32","23","25"
"USC00307134","2025-01-09",,,"0.00","0.0","0.0",,"35","22","32"
"USC00307134","2025-01-10",,,"0.00","0.0","0.0",,"41","28","38"
"USC00307134","2025-01-11",,,"0.00","0.0","0.0",,"38","29","33"
"USC00307134","2025-01-12",,,"0.00","0.0","0.0",,"40","29","36"
"US1NYHM0010","2025-01-01",,,"0.37","2.4","4.5",,,,
"US1NYHM0010","2025-01-02",,,"0.08","1.1","4.5",,,,
"US1NYHM0010","2025-01-03",,,"0.04","0.9","5.0",,,,
"US1NYHM0010","2025-01-04",,,"0.09","2.7","6.5",,,,
"US1NYHM0010","2025-01-05",,,"0.13","5.4","10.0",,,,
"US1NYHM0010","2025-01-06",,,"0.01","1.0","8.5",,,,
"US1NYHM0010","2025-01-07",,,"0.00","0.0","7.5",,,,
"US1NYHM0010","2025-01-08",,,"0.00","0.0","6.0",,,,
"US1NYHM0010","2025-01-09",,,"0.00","0.0","6.0",,,,
"US1NYHM0010","2025-01-10",,,"0.00","0.6","6.0",,,,
"US1NYHM0010","2025-01-11",,,"0.06","1.0","7.0",,,,
"US1NYHM0010","2025-01-12",,,"0.06","0.6","7.0",,,,
"US1NYHM0010","2025-01-13",,,"0.00","0.0","7.0",,,,
"US1NYON0027","2025-01-01",,,"0.01",,,,,,
"US1NYON0027","2025-01-02",,,"0.13","0.1","0.1",,,,
"US1NYON0027","2025-01-03",,,"0.00","0.0",,,,,
"US1NYON0027","2025-01-06","    3","0.04",,,"0.0",,,,
"US1NYON0027","2025-01-07",,,"0.02","2.0",,,,,
"US1NYON0027","2025-01-08",,,"0.06","3.0",,,,,
"US1NYON0027","2025-01-09",,,"0.01","0.7",,,,,
"US1NYON0027","2025-01-10",,,"0.00","0.0",,,,,
"US1NYON0027","2025-01-11",,,"0.06","1.0",,,,,
"USC00306047","2025-01-01",,,"0.15","0.0","0.0",,"46","30","35"
"USC00306047","2025-01-02",,,"0.16","0.7","1.0",,"36","31","31"
"USC00306047","2025-01-03",,,"0.00","0.0","0.0",,"36","26","26"
"USC00306047","2025-01-04",,,"0.01","0.2","0.0",,"33","22","22"
"USC00306047","2025-01-05",,,"0.00","0.0","0.0",,"28","20","20"
"USC00306047","2025-01-06",,,"0.00","0.0","0.0",,"28","19","22"
"USC00306047","2025-01-07",,,"0.02","1.0","1.0",,"22","15","20"
"USC00306047","2025-01-08",,,"0.00","0.0","1.0",,"24","17","17"
"USC00306047","2025-01-09",,,"0.00","0.0","0.0",,"21","14","17"
"USC00306047","2025-01-10",,,"0.00","0.0","0.0",,"26","11","11"
"USC00306047","2025-01-11",,,"0.18","2.5","3.0",,"28","11","21"
"USC00306047","2025-01-12",,,"0.01","0.1","3.0",,"33","21","23"
"USC00306047","2025-01-13",,,"0.01","0.2","2.0",,"35","23","32"
"USC00309425","2025-01-01",,,"0.05","0.0","0.0",,,,
"USC00309425","2025-01-02",,,"0.20","4.5",,,,,
"USC00309425","2025-01-03",,,"0.00","0.0","4.0",,,,
"USC00309425","2025-01-04",,,"0.00","0.0","4.0",,,,
"USC00309425","2025-01-05",,,"0.00","0.0","4.0",,,,
"USC00309425","2025-01-06",,,,"1.0","5.0",,,,
"USC00309425","2025-01-07",,,"0.00","0.0","5.0",,,,
"USC00309425","2025-01-08",,,"0.00","0.0","5.0",,,,
"USC00308578","2025-01-03",,,"2.00",,"2.0",,"32","23","24"
"USC00308578","2025-01-05",,,"0.00",,,,"22","18",
"USC00308578","2025-01-06",,,"1.15",,,,"26","6","10"
"USC00308578","2025-01-07",,,"0.00",,,,"18","6","18"
"USC00308578","2025-01-08",,,"0.00",,,,"19","12","12"
"USC00308578","2025-01-09",,,"0.00",,,,"14","11","13"
"USC00308578","2025-01-10",,,"0.00",,,,"22","13","21"
"USW00004789","2025-01-01",,,"0.00",,,,"48","36",
