STATION,NAME,LATITUDE,LONGITUDE,ELEVATION
USC00306164,"OGDENSBURG 4 NE, NY US",44.7281,-75.4442,85.3
USC00307134,"RIVERHEAD RESEARCH FARM, NY US",40.96245,-72.71612,30.5
USC00306047,"NORTH TONAWANDA, NY US",43.05734,-78.86171,176.2
USC00303773,"HEMLOCK, NY US",42.7743,-77.6083,274.9
USW00004789,"MONTGOMERY ORANGE CO AIRPORT, NY US",41.50908,-74.26458,108.2
US1NYCL0007,"PERU 4.1 ESE, NY US",44.564615,-73.453901,55.2
US1NYBM0004,"ENDICOTT 5.2 SSE, NY US",42.02958,-76.02129,317
USW00004781,"ISLIP LI MACARTHUR AIRPORT, NY US",40.79389,-73.10181,25.4
US1NYBM0007,"VESTAL 2.8 SSE, NY US",42.0493,-76.02883,303
US1NYAB0032,"GLENMONT 2.5 SW, NY US",42.575395,-73.799503,54.6
US1NYMR0055,"HONEOYE FALLS 1.7 NE, NY US",42.9700669,-77.5657322,199
US1NYQN0033,"HOWARD BEACH 0.4 NNW, NY US",40.662099,-73.841345,2.1
US1NYSF0134,"SETAUKET EAST SETAUKET 0.7 SSW, NY US",40.920423,-73.107169,26.5
US1NYQN0039,"LITTLE NECK 0.3 SE, NY US",40.7589466,-73.7289427,69.2
US1NYSF0016,"NORTHPORT 1.6 NNE, NY US",40.9234,-73.3305,25.6
US1NYSF0138,"SAYVILLE 0.2 SE, NY US",40.745169,-73.083736,7.9
USC00300379,"BALDWINSVILLE, NY US",43.15,-76.3333,115.5
USC00309442,"WHITNEY POINT DAM, NY US",42.3419,-75.9653,317
USC00301102,"CALLICOON CENTER, NY US",41.82737,-74.95065,372.2
US1NYOD0067,"HOLLAND PATENT 0.6 SSE, NY US",43.23294,-75.25369,181.7
USC00301580,"CLYDE LOCK 26, NY US",43.05901,-76.83844,119.5
US1NYOD0066,"NEW HARTFORD 1.0 WSW, NY US",43.06798,-75.30951,226.8
US1NYAB0041,"ALBANY 0.3 ESE, NY US",42.664086,-73.793493,64.9
US1NYAB0046,"RAVENA 1.4 NNW, NY US",42.495718,-73.821758,50.6
US1NYSL0006,"HANNAWA FALLS 0.1 SW, NY US",44.611539,-74.971905,171
US1NYCL0012,"SARANAC 0.8 SSE, NY US",44.639802,-73.738484,253
US1NYMR0050,"WEBSTER 3.0 W, NY US",43.212721,-77.481,119.8
US1NYLW0013,"GLENFIELD 4.1 NNE, NY US",43.75991,-75.363057,299.9
US1NYSF0148,"MATTITUCK 1.6 SSE, NY US",40.98276,-72.53047,1.5
USC00306062,"NORTHVILLE, NY US",43.1592,-74.2042,240.8
US1NYOD0060,"SAUQUOIT 1.6 WSW, NY US",42.995505,-75.288519,432.8
USC00307274,"ROSENDALE 2 E, NY US",41.84807,-74.04726,37.2
US1NYOD0061,"SYLVAN BEACH 1.6 NW, NY US",43.224075,-75.747136,116.4
USC00300364,"BAITING HOLLOW, NY US",40.93446,-72.74079,21.3
USC00301211,"CARMEL 4 N, NY US",41.4725,-73.655,207.3
USC00308248,"STILLWATER RESERVOIR, NY US",43.89131,-75.03612,515.1
US1NYCB0023,"CHATHAM 0.7 SW, NY US",42.35592,-73.60839,137.5
US1NYCB0024,"VALATIE 0.5 S, NY US",42.4073025,-73.6747823,93.3
US1NYSF0073,"BRIGHTWATERS 0.7 NNW, NY US",40.7259788513184,-73.2727508544922,10.4
US1NYSF0070,"SHELTER ISLAND HEIGHTS 2.1 SSW, NY US",41.0495567321777,-72.3621826171875,4.6
US1NYSF0077,"NESCONSET 1.4 SSW, NY US",40.828998,-73.16433,31.1
US1NYSF0074,"ISLIP TERRACE 0.5 W, NY US",40.747171,-73.19658,7.9
US1NYSF0079,"SMITHTOWN 2.0 SSW, NY US",40.8304328918457,-73.2285308837891,13.4
US1NYOT0011,"HARTWICK, NY US",42.6599,-75.05,406.9
US1NYLV0001,"DANSVILLE 3.6 WSW, NY US",42.5321,-77.7554,462.1
USC00306196,"OLEAN, NY US",42.0737,-78.4518,432.8
USC00308132,"SPRINGVILLE 5 NE, NY US",42.5497,-78.5767,515.4
US1NYLV0005,"DANSVILLE 1.0 ENE, NY US",42.568015,-77.678981,458.7
US1NYCB0016,"VALATIE 2.9 N, NY US",42.456554,-73.668121,100.9
US1NYGN0013,"BATAVIA 3.4 WSW, NY US",42.988665,-78.247293,271.9
USC00303983,"HORNELL ALMOND DAM, NY US",42.3488,-77.7044,403.9
US1NYCB0019,"VALATIE 3.2 NE, NY US",42.452999,-73.640381,163.4
