airline,overall,traveller_type,cabin,route,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money
Turkish Airlines,8,Couple Leisure,Economy Class,Amsterdam to Havana via Istanbul,4,3,5,5,3,5
Turkish Airlines,1,Family Leisure,Economy Class,Dublin to Phuket via Istanbul,2,1,1,2,1,1
Turkish Airlines,6,Couple Leisure,Business Class,Amsterdam to Ankara via Istanbul,5,4,5,3,1,2
Turkish Airlines,1,Family Leisure,Economy Class,Istanbul to Beirut,2,2,2,1,1,1
Turkish Airlines,3,Solo Leisure,Economy Class,Manchester to Manila via Istanbul,4,1,1,5,2,3
Turkish Airlines,3,Solo Leisure,Economy Class,London to Kigali via Istanbul,4,3,3,3,1,3
Turkish Airlines,8,Solo Leisure,Economy Class,Izmir to Montreal via Istanbul,4,5,5,5,4,5
Turkish Airlines,2,Business,Economy Class,Tel Aviv to Brussels via Istanbul,1,4,1,3,3,1
Turkish Airlines,10,Solo Leisure,Economy Class,Izmir to Istanbul,5,5,5,4,5,5
Turkish Airlines,1,Solo Leisure,Economy Class,Cairo to Dublin via Istanbul,2,2,1,1,1,1
Turkish Airlines,8,Solo Leisure,Economy Class,Istanbul to Montreal,4,5,5,4,3,5
Turkish Airlines,1,Family Leisure,Economy Class,San Francisco to Budapest via Istanbul,2,2,2,2,1,1
Turkish Airlines,4,Business,Economy Class,Cologne to Bogota via Istanbul,3,3,4,4,3,2
Turkish Airlines,1,Solo Leisure,Economy Class,Boston to Rome via Istanbul,1,2,3,3,1,1
Turkish Airlines,7,Solo Leisure,Business Class,Istanbul to Baku,4,5,5,5,2,5
Turkish Airlines,9,Solo Leisure,Business Class,Istanbul to Antalya,5,5,4,3,5,5
Turkish Airlines,2,Family Leisure,Economy Class,Istanbul to Cairo,1,1,1,1,2,2
Turkish Airlines,3,Solo Leisure,Economy Class,Paris to Istanbul via Doha,2,2,4,3,1,3
Turkish Airlines,7,Couple Leisure,Economy Class,Dublin to Cape Town via Istanbul,3,3,3,5,3,4
Turkish Airlines,9,Business,Business Class,Cape Town to Gatwick via Istanbul,4,4,5,4,3,4
Turkish Airlines,1,Solo Leisure,Economy Class,Prague to Washington via Istanbul,1,2,3,3,2,1
Turkish Airlines,1,Family Leisure,Economy Class,Lahore to Atlanta via Istanbul,1,1,1,1,1,1
Turkish Airlines,9,Couple Leisure,Economy Class,Edinburgh to Thessaloniki via Istanbul,4,5,4,5,5,4
Turkish Airlines,9,Solo Leisure,Economy Class,Lvov to Johannesburg via Istanbul,4,5,5,4,5,4
Turkish Airlines,1,Couple Leisure,Economy Class,Istanbul to Miami,1,1,1,1,1,1
Turkish Airlines,1,Couple Leisure,Economy Class,Istanbul to London,1,1,1,1,1,1
Turkish Airlines,9,Couple Leisure,Economy Class,Lisbon to Sharm el-Sheikh via Istanbul,3,5,5,5,4,4
Turkish Airlines,5,Business,Economy Class,Beijing to Istanbul,4,5,4,5,1,4
Turkish Airlines,1,Solo Leisure,Economy Class,YaoundÃ© to Washington via Istanbul,3,3,3,3,1,2
Turkish Airlines,4,Business,Economy Class,Istanbul to Vienna,3,3,3,4,1,3
Turkish Airlines,3,Business,Business Class,London to Addis Ababa via Istanbul,1,3,3,2,1,2
Turkish Airlines,1,Couple Leisure,Economy Class,Istanbul to Neveshir,2,3,3,1,1,1
Turkish Airlines,2,Business,Economy Class,Istanbul to Geneva,1,2,3,4,3,3
Turkish Airlines,9,Couple Leisure,Economy Class,Zagreb to Kayseri via Istanbul,5,5,4,5,4,5
Turkish Airlines,9,Couple Leisure,Business Class,Manchester to Ercan via Istanbul,4,4,4,4,3,5
Turkish Airlines,1,Couple Leisure,Economy Class,Kiev to Chicago via Istanbul,2,4,4,4,1,1
Turkish Airlines,3,Couple Leisure,Economy Class,Venice to Nairobi via Istanbul,3,3,3,3,1,3
Turkish Airlines,1,Family Leisure,Economy Class,Gothenburg to Manila via Istanbul,1,1,1,1,1,1
Turkish Airlines,9,Family Leisure,Economy Class,Istanbul to Dalaman,4,3,3,3,4,4
Turkish Airlines,7,Family Leisure,Business Class,Antalya to Istanbul,4,4,4,3,4,3
Turkish Airlines,1,Couple Leisure,Economy Class,Antalya to Sydney via Istanbul / Bangkok,4,4,4,4,1,3
Turkish Airlines,1,Business,Business Class,Abidjan to Beirut via Istanbul,3,3,3,3,1,2
Turkish Airlines,10,Family Leisure,Economy Class,Washington to Istanbul,4,5,3,5,4,5
Turkish Airlines,1,Solo Leisure,Economy Class,Doha to Aqaba via Istanbul,3,1,4,3,1,2
Turkish Airlines,7,Solo Leisure,Business Class,Istanbul to New York JFK,3,4,4,4,3,4
Turkish Airlines,3,Family Leisure,Economy Class,Dhaka to London via Istanbul,4,1,3,5,1,3
Turkish Airlines,7,Solo Leisure,Business Class,Bangkok to London via Istanbul,3,5,2,4,1,4
Turkish Airlines,5,Couple Leisure,Business Class,Istanbul to Prague,4,3,4,3,1,3
Turkish Airlines,6,Solo Leisure,Business Class,Bangkok to Istanbul,3,4,5,3,4,3
Turkish Airlines,10,Solo Leisure,Economy Class,ZÃ¼rich to Denizli via Istanbul,5,5,5,5,5,5
Turkish Airlines,2,Solo Leisure,Economy Class,Berlin to Singapore via Istanbul,1,2,4,2,1,3
Turkish Airlines,6,Couple Leisure,Business Class,Bangkok to Amsterdam via Istanbul,4,4,4,4,2,4
Turkish Airlines,1,Solo Leisure,Economy Class,Amsterdam to Istanbul,1,1,1,1,1,1
Turkish Airlines,2,Solo Leisure,Economy Class,Lahore to Istanbul,2,4,2,3,1,3
Turkish Airlines,1,Solo Leisure,Economy Class,Dubrovnik to Kuala Lumpur via Istanbul,2,3,3,3,1,1
Turkish Airlines,1,Solo Leisure,Economy Class,Heathrow to Tashkent via Istanbul,2,2,1,1,1,2
Turkish Airlines,7,Couple Leisure,Economy Class,Billund to Bangkok via Istanbul,4,3,4,3,3,5
Turkish Airlines,1,Family Leisure,Economy Class,London Gatwick to Seychelles via Istanbul,3,1,2,2,1,1
Turkish Airlines,2,Solo Leisure,Economy Class,Dubai to Budapest via Istanbul,3,3,3,4,2,2
Turkish Airlines,1,Solo Leisure,Economy Class,Detroit to Vienna via Istanbul,1,1,1,1,1,1
Turkish Airlines,1,Solo Leisure,Economy Class,New York to Istanbul,2,1,4,4,1,1
Turkish Airlines,9,Business,Economy Class,Montreal to Istanbul,4,5,4,5,5,5
Turkish Airlines,1,Solo Leisure,Economy Class,Karachi to New York JFK via Istanbul,2,1,1,2,1,1
Turkish Airlines,3,Solo Leisure,Economy Class,Istanbul to Dubai,3,3,2,4,1,3
Turkish Airlines,1,Solo Leisure,Economy Class,Singapore to Tel Aviv via Istanbul,4,2,4,1,1,1
Turkish Airlines,9,Solo Leisure,Economy Class,Tehran to Istanbul via Rome,4,4,4,4,4,4
Turkish Airlines,2,Solo Leisure,Economy Class,Riga to Colombo via Istanbul,3,3,2,2,2,2
Turkish Airlines,1,Family Leisure,Economy Class,Rome to Dubai via Istanbul,1,1,1,1,1,1
Turkish Airlines,1,Solo Leisure,Economy Class,Delhi to Salzburg via Istanbul,1,1,1,2,3,2
Turkish Airlines,1,Solo Leisure,Economy Class,Washington to Minsk via Istanbul,2,2,3,2,1,1
Turkish Airlines,3,Family Leisure,Economy Class,London to Istanbul,2,1,1,2,1,1
Turkish Airlines,2,Couple Leisure,Economy Class,Sofia to Cairo via Istanbul,2,3,3,4,1,2
Turkish Airlines,8,Couple Leisure,Economy Class,Bucharest to Dubai via Istanbul,4,5,5,5,2,5
Turkish Airlines,7,Family Leisure,Economy Class,Moscow to Antalya,5,4,1,5,5,3
Turkish Airlines,3,Solo Leisure,Economy Class,London to Istanbul,3,3,3,3,1,2
Turkish Airlines,1,Business,Economy Class,Kinshasa to Brussels via Istanbul,1,2,1,1,1,1
Turkish Airlines,2,Business,Economy Class,Riyadh to Kiev via Istanbul,3,1,2,2,1,2
Turkish Airlines,10,Couple Leisure,Economy Class,Bangkok to Istanbul,5,5,5,5,5,5
Turkish Airlines,5,Business,Business Class,London to Rwanda via Istanbul,1,2,2,2,2,2
Turkish Airlines,9,Family Leisure,Economy Class,Caracas to Munich via Istambul,5,5,5,5,5,5
Turkish Airlines,1,Business,Economy Class,Amsterdam to Ankara via Istanbul,1,1,1,1,1,1
Turkish Airlines,1,Couple Leisure,Business Class,Mumbai to Helsinki via Instanbul,1,2,2,2,1,1
Turkish Airlines,3,Solo Leisure,Business Class,Manila to Istanbul,3,1,1,2,2,1
Turkish Airlines,1,Couple Leisure,Premium Economy,Kayseri to Bucharest via Istanbul,1,1,1,1,1,1
Turkish Airlines,3,Couple Leisure,Economy Class,Los Angeles to Bucharest via Istanbul,4,4,5,4,1,1
Turkish Airlines,9,Business,Business Class,Singapore to Venice via Istanbul,4,5,5,5,3,5
Turkish Airlines,2,Business,Economy Class,Manila to Tel Aviv via Istanbul,4,1,2,5,3,2
Turkish Airlines,3,Business,Business Class,Berlin to Singapore via Istanbul,3,4,3,4,1,3
Turkish Airlines,2,Solo Leisure,Economy Class,Washington to Istanbul,2,1,2,2,1,2
