id,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
27385494,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27385914,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27386339,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27386991,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27387238,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27389045,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27389647,7,0,0,2018-08-20,2018-08-31,5,4.83,4.83,5,5,5,5,0.17
27389714,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27389854,7,0,0,2018-08-18,2019-07-21,4.71,4.86,4.86,5,5,4.43,4.71,0.17
27389930,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27390188,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27390867,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27391028,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27391206,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27392814,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27393151,4,0,0,2018-09-19,2018-11-28,3.75,4,4.5,5,3.5,4.25,4.25,0.1
27394538,1,0,0,2018-08-23,2018-08-23,0,NA,NA,NA,NA,NA,NA,0.03
27394897,36,7,0,2019-06-18,2021-08-21,4.97,4.83,4.89,5,5,4.78,4.83,1.2
27395171,55,21,2,2018-11-03,2021-11-07,4.89,4.93,4.95,4.89,4.91,4.76,4.76,1.46
27398972,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27401585,3,1,0,2018-10-13,2021-07-10,5,5,5,5,5,5,5,0.08
27405246,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27406558,6,0,0,2018-12-09,2019-03-17,4.83,5,5,5,5,4.67,4.83,0.16
27409329,63,2,1,2018-10-01,2021-11-29,4.71,4.71,4.59,4.76,4.81,4.65,4.71,1.63
27416658,2,0,0,2019-09-29,2019-11-30,5,5,5,5,5,5,5,0.08
27417822,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
