city,year,population
Lake Bridgeport,2015,361
Lake Bridgeport,2016,368
Lake Bridgeport,2017,376
Lake Bridgeport,2018,392
Lake Bridgeport,2019,399
Lake City,2010,507
Lake City,2011,509
Lake City,2012,517
Lake City,2013,526
Lake City,2014,532
Lake City,2015,539
Lake City,2016,532
Lake City,2017,528
Lake City,2018,530
Lake City,2019,531
Lake Dallas,2010,7137
Lake Dallas,2011,7263
Lake Dallas,2012,7358
Lake Dallas,2013,7404
Lake Dallas,2014,7497
Lake Dallas,2015,7959
Lake Dallas,2016,8000
Lake Dallas,2017,8049
Lake Dallas,2018,8054
Lake Dallas,2019,8063
Lake Jackson,2010,26819
Lake Jackson,2011,27018
Lake Jackson,2012,27020
Lake Jackson,2013,27184
Lake Jackson,2014,27358
Lake Jackson,2015,27252
Lake Jackson,2016,27215
Lake Jackson,2017,27406
Lake Jackson,2018,27420
Lake Jackson,2019,27220
Lakeport,2010,978
Lakeport,2011,977
Lakeport,2012,976
Lakeport,2013,980
Lakeport,2014,972
Lakeport,2015,976
Lakeport,2016,979
Lakeport,2017,977
Lakeport,2018,984
Lakeport,2019,996
Lakeside,2010,310
Lakeside,2011,310
Lakeside,2012,315
Lakeside,2013,318
Lakeside,2014,318
Lakeside,2015,318
Lakeside,2016,311
Lakeside,2017,305
Lakeside,2018,304
Lakeside,2019,303
Lakeside,2010,1502
Lakeside,2011,1520
Lakeside,2012,1541
Lakeside,2013,1561
Lakeside,2014,1572
Lakeside,2015,1586
Lakeside,2016,1603
Lakeside,2017,1602
Lakeside,2018,1599
Lakeside,2019,1593
Lakeside City,2010,977
Lakeside City,2011,949
Lakeside City,2012,943
Lakeside City,2013,945
Lakeside City,2014,951
Lakeside City,2015,949
Lakeside City,2016,957
Lakeside City,2017,966
Lakeside City,2018,959
Lakeside City,2019,957
Lake Tanglewood village,2010,804
Lake Tanglewood village,2011,818
Lake Tanglewood village,2012,831
Lake Tanglewood village,2013,839
Lake Tanglewood village,2014,857
Lake Tanglewood village,2015,860
Lake Tanglewood village,2016,865
Lake Tanglewood village,2017,870
Lake Tanglewood village,2018,878
Lake Tanglewood village,2019,886
Lakeview,2010,107
Lakeview,2011,106
Lakeview,2012,105
Lakeview,2013,102
Lakeview,2014,99
Lakeview,2015,100
Lakeview,2016,99
Lakeview,2017,97
Lakeview,2018,96
Lakeview,2019,95
Lakeway,2010,11748
Lakeway,2011,12119
Lakeway,2012,12739
Lakeway,2013,13148
Lakeway,2014,13670
Lakeway,2015,14184
Lakeway,2016,14702
Lakeway,2017,15204
Lakeway,2018,15624
Lakeway,2019,15981
Lakewood Village,2010,544
Lakewood Village,2011,575
Lakewood Village,2012,612
Lakewood Village,2013,656
Lakewood Village,2014,700
Lakewood Village,2015,753
Lakewood Village,2016,814
Lakewood Village,2017,873
Lakewood Village,2018,918
Lakewood Village,2019,964
Lake Worth,2010,4682
Lake Worth,2011,4720
Lake Worth,2012,4754
Lake Worth,2013,4780
Lake Worth,2014,4830
Lake Worth,2015,4906
Lake Worth,2016,4969
Lake Worth,2017,4951
Lake Worth,2018,4933
Lake Worth,2019,4896
La Marque,2010,14568
La Marque,2011,14673
La Marque,2012,14924
La Marque,2013,15140
La Marque,2014,15459
La Marque,2015,15795
La Marque,2016,16379
La Marque,2017,16739
La Marque,2018,16805
La Marque,2019,17319
Lamesa,2010,9412
Lamesa,2011,9304
Lamesa,2012,9189
Lamesa,2013,9322
Lamesa,2014,9366
Lamesa,2015,9373
Lamesa,2016,9382
Lamesa,2017,9166
Lamesa,2018,9057
Lamesa,2019,9147
Lampasas,2010,6763
Lampasas,2011,6814
Lampasas,2012,6837
Lampasas,2013,6845
Lampasas,2014,7170
Lampasas,2015,7554
Lampasas,2016,7603
Lampasas,2017,7757
Lampasas,2018,7861
Lampasas,2019,7982
Lancaster,2010,36787
Lancaster,2011,37377
Lancaster,2012,37956
Lancaster,2013,38222
Lancaster,2014,38627
Lancaster,2015,38961
Lancaster,2016,39155
Lancaster,2017,39413
Lancaster,2018,39311
Lancaster,2019,39228
La Porte,2010,33871
La Porte,2011,34183
La Porte,2012,34550
La Porte,2013,34825
La Porte,2014,35186
La Porte,2015,35339
La Porte,2016,35397
La Porte,2017,35373
La Porte,2018,35220
La Porte,2019,34976
Laredo,2010,236807
Laredo,2011,241195
Laredo,2012,245728
Laredo,2013,249602
Laredo,2014,252734
Laredo,2015,255271
Laredo,2016,257862
Laredo,2017,259324
Laredo,2018,260856
Laredo,2019,262491
Latexo,2010,321
Latexo,2011,318
Latexo,2012,317
Latexo,2013,311
Latexo,2014,309
Latexo,2015,311
Latexo,2016,312
Latexo,2017,315
Latexo,2018,317
Latexo,2019,314
La Vernia,2010,1035
La Vernia,2011,1095
La Vernia,2012,1107
La Vernia,2013,1153
La Vernia,2014,1190
La Vernia,2015,1237
La Vernia,2016,1379
La Vernia,2017,1398
La Vernia,2018,1417
La Vernia,2019,1428
La Villa,2010,2448
La Villa,2011,2458
La Villa,2012,2472
La Villa,2013,2473
La Villa,2014,2495
La Villa,2015,2582
La Villa,2016,2653
La Villa,2017,2722
La Villa,2018,2796
La Villa,2019,2870
Lavon,2010,2235
Lavon,2011,2277
Lavon,2012,2305
Lavon,2013,2435
Lavon,2014,2609
Lavon,2015,2901
Lavon,2016,3101
Lavon,2017,3150
Lavon,2018,3541
Lavon,2019,3724
La Ward,2010,213
La Ward,2011,212
La Ward,2012,216
La Ward,2013,220
La Ward,2014,222
La Ward,2015,225
La Ward,2016,225
La Ward,2017,226
La Ward,2018,226
La Ward,2019,224
Lawn,2010,315
Lawn,2011,315
Lawn,2012,317
Lawn,2013,316
Lawn,2014,318
Lawn,2015,320
Lawn,2016,320
Lawn,2017,319
Lawn,2018,320
Lawn,2019,321
League City,2010,84096
League City,2011,86278
League City,2012,88242
League City,2013,90790
League City,2014,94121
League City,2015,97860
League City,2016,101669
League City,2017,104442
League City,2018,106005
League City,2019,107536
Leakey,2010,426
Leakey,2011,441
Leakey,2012,431
Leakey,2013,425
Leakey,2014,428
Leakey,2015,420
Leakey,2016,433
Leakey,2017,435
Leakey,2018,442
Leakey,2019,438
Leander,2010,27709
Leander,2011,29120
Leander,2012,30636
Leander,2013,32774
Leander,2014,35280
Leander,2015,39019
Leander,2016,43788
Leander,2017,49792
Leander,2018,55924
Leander,2019,62608
Leary,2010,483
Leary,2011,483
Leary,2012,483
Leary,2013,489
Leary,2014,491
Leary,2015,492
Leary,2016,495
Leary,2017,498
Leary,2018,503
Leary,2019,502
Lefors,2010,496
Lefors,2011,501
Lefors,2012,508
Lefors,2013,511
Lefors,2014,512
Lefors,2015,507
Lefors,2016,498
Lefors,2017,487
Lefors,2018,483
Lefors,2019,480
Leona,2010,174
Leona,2011,175
Leona,2012,173
Leona,2013,173
Leona,2014,174
Leona,2015,176
Leona,2016,177
Leona,2017,178
Leona,2018,177
Leona,2019,180
Leonard,2010,1983
Leonard,2011,1976
Leonard,2012,1965
Leonard,2013,1957
Leonard,2014,1950
Leonard,2015,1950
Leonard,2016,1969
Leonard,2017,2001
Leonard,2018,2035
Leonard,2019,2054
Leon Valley,2010,11063
Leon Valley,2011,11344
Leon Valley,2012,11541
Leon Valley,2013,11680
Leon Valley,2014,11881
Leon Valley,2015,12024
Leon Valley,2016,12183
Leon Valley,2017,12244
Leon Valley,2018,12279
Leon Valley,2019,12306
Leroy,2010,337
Leroy,2011,339
Leroy,2012,339
Leroy,2013,339
Leroy,2014,343
Leroy,2015,342
Leroy,2016,341
Leroy,2017,341
Leroy,2018,345
Leroy,2019,346
Levelland,2010,13508
Levelland,2011,13557
Levelland,2012,13644
Levelland,2013,13826
Levelland,2014,13888
Levelland,2015,13816
Levelland,2016,13617
Levelland,2017,13540
Levelland,2018,13501
Levelland,2019,13502
Lewisville,2010,95930
Lewisville,2011,97636
Lewisville,2012,99703
Lewisville,2013,101156
Lewisville,2014,102963
Lewisville,2015,103956
Lewisville,2016,105030
Lewisville,2017,106439
Lewisville,2018,106938
Lewisville,2019,109212
Lexington,2010,1179
Lexington,2011,1178
Lexington,2012,1171
Lexington,2013,1166
Lexington,2014,1171
Lexington,2015,1187
Lexington,2016,1195
Lexington,2017,1207
Lexington,2018,1206
Lexington,2019,1222
Liberty,2010,8425
Liberty,2011,8544
Liberty,2012,8709
Liberty,2013,8752
Liberty,2014,8837
Liberty,2015,8924
Liberty,2016,9049
Liberty,2017,9145
Liberty,2018,9257
Liberty,2019,9314
Liberty Hill,2010,932
Liberty Hill,2011,952
Liberty Hill,2012,967
Liberty Hill,2013,1034
Liberty Hill,2014,1047
Liberty Hill,2015,1386
Liberty Hill,2016,1615
Liberty Hill,2017,1894
Liberty Hill,2018,2421
Liberty Hill,2019,2931
Lincoln Park,2010,311
Lincoln Park,2011,328
Lincoln Park,2012,351
Lincoln Park,2013,376
Lincoln Park,2014,403
Lincoln Park,2015,432
Lincoln Park,2016,469
Lincoln Park,2017,502
Lincoln Park,2018,530
Lincoln Park,2019,558
Lindale,2010,4841
Lindale,2011,5026
Lindale,2012,5139
Lindale,2013,5280
Lindale,2014,5437
Lindale,2015,5628
Lindale,2016,5799
Lindale,2017,5999
Lindale,2018,6126
Lindale,2019,6464
Linden,2010,1981
Linden,2011,1966
Linden,2012,1949
Linden,2013,1960
Linden,2014,1952
Linden,2015,1938
Linden,2016,1926
Linden,2017,1917
Linden,2018,1924
Linden,2019,1915
Lindsay,2010,1026
Lindsay,2011,1035
Lindsay,2012,1046
Lindsay,2013,1042
Lindsay,2014,1063
Lindsay,2015,1083
Lindsay,2016,1082
Lindsay,2017,1101
Lindsay,2018,1119
Lindsay,2019,1149
Lipan,2010,428
Lipan,2011,429
Lipan,2012,431
Lipan,2013,436
Lipan,2014,440
Lipan,2015,448
Lipan,2016,458
Lipan,2017,466
Lipan,2018,481
Lipan,2019,488
Little Elm,2010,26197
Little Elm,2011,27709
Little Elm,2012,29023
Little Elm,2013,32916
Little Elm,2014,35493
Little Elm,2015,38438
Little Elm,2016,42661
Little Elm,2017,45988
Little Elm,2018,49644
Little Elm,2019,53126
Littlefield,2010,6383
Littlefield,2011,6416
Littlefield,2012,6316
Littlefield,2013,6221
Littlefield,2014,6138
Littlefield,2015,6031
Littlefield,2016,5988
Littlefield,2017,5975
Littlefield,2018,5942
Littlefield,2019,5843
Little River-Academy,2010,1979
Little River-Academy,2011,1972
Little River-Academy,2012,1989
Little River-Academy,2013,1973
Little River-Academy,2014,1960
Little River-Academy,2015,1972
Little River-Academy,2016,1985
Little River-Academy,2017,1998
Little River-Academy,2018,2024
Little River-Academy,2019,2038
Live Oak,2010,13232
Live Oak,2011,13740
Live Oak,2012,14221
Live Oak,2013,14773
Live Oak,2014,15122
Live Oak,2015,15323
Live Oak,2016,15743
Live Oak,2017,15841
Live Oak,2018,15874
Live Oak,2019,16499
Liverpool,2010,492
Liverpool,2011,494
Liverpool,2012,499
Liverpool,2013,501
Liverpool,2014,506
Liverpool,2015,507
Liverpool,2016,509
Liverpool,2017,523
Liverpool,2018,539
Liverpool,2019,551
Livingston,2010,5261
Livingston,2011,5205
Livingston,2012,5145
Livingston,2013,5081
Livingston,2014,5032
Livingston,2015,5017
Livingston,2016,5058
Livingston,2017,5104
Livingston,2018,5143
Livingston,2019,5242
Llano,2010,3256
Llano,2011,3287
Llano,2012,3296
Llano,2013,3322
Llano,2014,3323
Llano,2015,3354
Llano,2016,3422
Llano,2017,3467
Llano,2018,3497
Llano,2019,3497
Lockhart,2010,12746
Lockhart,2011,12808
Lockhart,2012,12845
Lockhart,2013,12977
Lockhart,2014,13102
Lockhart,2015,13275
Lockhart,2016,13360
Lockhart,2017,13719
Lockhart,2018,13794
Lockhart,2019,14133
Lockney,2010,1828
Lockney,2011,1816
Lockney,2012,1809
Lockney,2013,1776
Lockney,2014,1696
Lockney,2015,1672
Lockney,2016,1671
Lockney,2017,1665
Lockney,2018,1651
Lockney,2019,1631
Log Cabin,2010,716
Log Cabin,2011,715
Log Cabin,2012,722
Log Cabin,2013,719
Log Cabin,2014,728
Log Cabin,2015,731
Log Cabin,2016,739
Log Cabin,2017,747
Log Cabin,2018,763
Log Cabin,2019,772
Lometa,2010,850
Lometa,2011,854
Lometa,2012,860
Lometa,2013,862
Lometa,2014,838
Lometa,2015,829
Lometa,2016,835
Lometa,2017,844
Lometa,2018,852
Lometa,2019,861
Lone Oak,2010,594
Lone Oak,2011,596
Lone Oak,2012,599
Lone Oak,2013,601
Lone Oak,2014,616
Lone Oak,2015,625
Lone Oak,2016,643
Lone Oak,2017,654
Lone Oak,2018,679
Lone Oak,2019,692
Lone Star,2010,1579
Lone Star,2011,1559
Lone Star,2012,1546
Lone Star,2013,1541
Lone Star,2014,1529
Lone Star,2015,1496
Lone Star,2016,1499
Lone Star,2017,1491
Lone Star,2018,1477
Lone Star,2019,1482
Longview,2010,80565
Longview,2011,81024
Longview,2012,81190
Longview,2013,81249
Longview,2014,81253
Longview,2015,81717
Longview,2016,81378
Longview,2017,80980
Longview,2018,81191
Longview,2019,81631
Loraine,2010,602
Loraine,2011,599
Loraine,2012,591
Loraine,2013,600
Loraine,2014,604
Loraine,2015,599
Loraine,2016,584
Loraine,2017,581
Loraine,2018,570
Loraine,2019,564
Lorena,2010,1692
Lorena,2011,1704
Lorena,2012,1700
Lorena,2013,1712
Lorena,2014,1730
Lorena,2015,1733
Lorena,2016,1741
Lorena,2017,1747
Lorena,2018,1752
Lorena,2019,1755
Lorenzo,2010,1142
Lorenzo,2011,1145
Lorenzo,2012,1152
Lorenzo,2013,1141
Lorenzo,2014,1132
Lorenzo,2015,1157
Lorenzo,2016,1164
Lorenzo,2017,1165
Lorenzo,2018,1144
Lorenzo,2019,1138
Los Fresnos,2010,7059
Los Fresnos,2011,7152
Los Fresnos,2012,7231
Los Fresnos,2013,7301
Los Fresnos,2014,7486
Los Fresnos,2015,7589
Los Fresnos,2016,7684
Los Fresnos,2017,7756
Los Fresnos,2018,7791
Los Fresnos,2019,7837
Los Indios,2010,1035
Los Indios,2011,1049
Los Indios,2012,1053
Los Indios,2013,1054
Los Indios,2014,1054
Los Indios,2015,1055
Los Indios,2016,1062
Los Indios,2017,1064
Los Indios,2018,1060
Los Indios,2019,1060
Los Ybanez,2010,19
Los Ybanez,2011,19
Los Ybanez,2012,19
Los Ybanez,2013,19
Los Ybanez,2014,19
Los Ybanez,2015,19
Los Ybanez,2016,19
Los Ybanez,2017,19
Los Ybanez,2018,18
Los Ybanez,2019,19
Lott,2010,762
Lott,2011,762
Lott,2012,750
Lott,2013,749
Lott,2014,741
Lott,2015,739
Lott,2016,744
Lott,2017,746
Lott,2018,739
Lott,2019,742
Lovelady,2010,645
Lovelady,2011,642
Lovelady,2012,634
Lovelady,2013,622
Lovelady,2014,621
Lovelady,2015,621
Lovelady,2016,626
Lovelady,2017,630
Lovelady,2018,630
Lovelady,2019,627
Lowry Crossing,2010,1715
Lowry Crossing,2011,1745
Lowry Crossing,2012,1764
Lowry Crossing,2013,1758
Lowry Crossing,2014,1772
Lowry Crossing,2015,1773
Lowry Crossing,2016,1755
Lowry Crossing,2017,1752
Lowry Crossing,2018,1742
Lowry Crossing,2019,1727
Lubbock,2010,231105
Lubbock,2011,233928
Lubbock,2012,236361
Lubbock,2013,239708
Lubbock,2014,244350
Lubbock,2015,247950
Lubbock,2016,251387
Lubbock,2017,254432
Lubbock,2018,256469
Lubbock,2019,258862
Lucas,2010,5453
Lucas,2011,5776
Lucas,2012,6128
Lucas,2013,6384
Lucas,2014,6746
Lucas,2015,7083
Lucas,2016,7417
Lucas,2017,7680
Lucas,2018,8127
Lucas,2019,8553
Lueders,2010,346
Lueders,2011,343
Lueders,2012,336
Lueders,2013,335
Lueders,2014,329
Lueders,2015,331
Lueders,2016,332
Lueders,2017,330
Lueders,2018,328
Lueders,2019,333
Lufkin,2010,35157
Lufkin,2011,35353
Lufkin,2012,35947
Lufkin,2013,35749
Lufkin,2014,35855
Lufkin,2015,35897
Lufkin,2016,35732
Lufkin,2017,35599
Lufkin,2018,35131
Lufkin,2019,35021
Luling,2010,5403
Luling,2011,5507
Luling,2012,5531
Luling,2013,5604
Luling,2014,5658
Luling,2015,5703
Luling,2016,5815
Luling,2017,5912
Luling,2018,5952
Luling,2019,5869
Lumberton,2010,12025
Lumberton,2011,12150
Lumberton,2012,12057
Lumberton,2013,12133
Lumberton,2014,12236
Lumberton,2015,12337
Lumberton,2016,12503
Lumberton,2017,12753
Lumberton,2018,12847
Lumberton,2019,13073
Lyford,2010,2619
Lyford,2011,2615
Lyford,2012,2625
Lyford,2013,2597
Lyford,2014,2584
Lyford,2015,2591
Lyford,2016,2579
Lyford,2017,2542
Lyford,2018,2533
Lyford,2019,2540
Lytle,2010,2511
Lytle,2011,2561
Lytle,2012,2622
Lytle,2013,2688
Lytle,2014,2777
Lytle,2015,2850
Lytle,2016,2887
Lytle,2017,2918
Lytle,2018,3004
Lytle,2019,3066
Mabank,2010,3009
Mabank,2011,3035
Mabank,2012,3052
Mabank,2013,3069
Mabank,2014,3161
Mabank,2015,3234
Mabank,2016,3331
Mabank,2017,3468
Mabank,2018,3720
Mabank,2019,3995
McAllen,2010,132093
McAllen,2011,134639
McAllen,2012,136277
McAllen,2013,137421
McAllen,2014,138719
McAllen,2015,139909
McAllen,2016,141888
McAllen,2017,142249
McAllen,2018,142530
McAllen,2019,143268
McCamey,2010,1881
McCamey,2011,1849
McCamey,2012,1835
McCamey,2013,1911
McCamey,2014,1964
McCamey,2015,2060
McCamey,2016,2080
McCamey,2017,2058
McCamey,2018,2048
McCamey,2019,2060
McGregor,2010,5007
McGregor,2011,5037
McGregor,2012,5040
McGregor,2013,5031
McGregor,2014,5022
McGregor,2015,5041
McGregor,2016,5069
McGregor,2017,5090
McGregor,2018,5206
McGregor,2019,5331
McKinney,2010,132934
McKinney,2011,137928
McKinney,2012,143510
McKinney,2013,149207
McKinney,2014,157143
McKinney,2015,163612
McKinney,2016,173577
McKinney,2017,182104
McKinney,2018,191748
McKinney,2019,199177
McLean,2010,776
McLean,2011,782
McLean,2012,808
McLean,2013,801
McLean,2014,799
McLean,2015,790
McLean,2016,778
McLean,2017,760
McLean,2018,750
McLean,2019,744
McLendon-Chisholm,2010,1406
McLendon-Chisholm,2011,1457
McLendon-Chisholm,2012,1525
McLendon-Chisholm,2013,1690
McLendon-Chisholm,2014,1895
McLendon-Chisholm,2015,2221
McLendon-Chisholm,2016,2608
McLendon-Chisholm,2017,2984
McLendon-Chisholm,2018,3202
McLendon-Chisholm,2019,3455
Madisonville,2010,4423
Madisonville,2011,4452
Madisonville,2012,4458
Madisonville,2013,4509
Madisonville,2014,4541
Madisonville,2015,4609
Madisonville,2016,4625
Madisonville,2017,4676
Madisonville,2018,4711
Madisonville,2019,4685
Magnolia,2010,1381
Magnolia,2011,1416
Magnolia,2012,1445
Magnolia,2013,1505
Magnolia,2014,1616
Magnolia,2015,1798
Magnolia,2016,1953
Magnolia,2017,2009
Magnolia,2018,2093
Magnolia,2019,2093
Malakoff,2010,2318
Malakoff,2011,2313
Malakoff,2012,2308
Malakoff,2013,2273
Malakoff,2014,2270
Malakoff,2015,2283
Malakoff,2016,2283
Malakoff,2017,2301
Malakoff,2018,2305
Malakoff,2019,2301
Malone,2010,269
Malone,2011,270
Malone,2012,269
Malone,2013,269
Malone,2014,267
Malone,2015,267
Malone,2016,269
Malone,2017,275
Malone,2018,280
Malone,2019,283
Manor,2010,4946
Manor,2011,5261
Manor,2012,5699
Manor,2013,6221
Manor,2014,6775
Manor,2015,7462
Manor,2016,8164
Manor,2017,9264
Manor,2018,11092
Manor,2019,13866
Mansfield,2010,57088
Mansfield,2011,58331
Mansfield,2012,59682
Mansfield,2013,61228
Mansfield,2014,62605
Mansfield,2015,64705
Mansfield,2016,66253
Mansfield,2017,68841
Mansfield,2018,70796
Mansfield,2019,72419
Manvel,2010,5272
Manvel,2011,5722
Manvel,2012,6115
Manvel,2013,6671
Manvel,2014,7199
Manvel,2015,7983
Manvel,2016,8843
Manvel,2017,9966
Manvel,2018,11451
Manvel,2019,12671
Marble Falls,2010,6066
Marble Falls,2011,6092
Marble Falls,2012,6063
Marble Falls,2013,6045
Marble Falls,2014,6055
Marble Falls,2015,6111
Marble Falls,2016,6220
Marble Falls,2017,6472
Marble Falls,2018,6885
Marble Falls,2019,7038
Marfa,2010,1995
Marfa,2011,1956
Marfa,2012,1915
Marfa,2013,1851
Marfa,2014,1801
Marfa,2015,1754
Marfa,2016,1766
Marfa,2017,1742
Marfa,2018,1672
Marfa,2019,1625
Marietta,2010,134
Marietta,2011,133
Marietta,2012,132
Marietta,2013,132
Marietta,2014,131
Marietta,2015,131
Marietta,2016,131
Marietta,2017,130
Marietta,2018,130
Marietta,2019,129
Marion,2010,1070
Marion,2011,1068
Marion,2012,1080
Marion,2013,1083
Marion,2014,1091
Marion,2015,1094
Marion,2016,1092
Marion,2017,1120
Marion,2018,1185
Marion,2019,1241
Marlin,2010,5976
Marlin,2011,5921
Marlin,2012,5798
Marlin,2013,5754
Marlin,2014,5652
Marlin,2015,5620
Marlin,2016,5652
Marlin,2017,5639
Marlin,2018,5578
Marlin,2019,5581
Marquez,2010,261
Marquez,2011,263
Marquez,2012,261
Marquez,2013,261
Marquez,2014,261
Marquez,2015,266
Marquez,2016,270
Marquez,2017,271
Marquez,2018,272
Marquez,2019,274
Marshall,2010,23533
Marshall,2011,23601
Marshall,2012,23442
Marshall,2013,23569
Marshall,2014,23587
Marshall,2015,23383
Marshall,2016,23219
Marshall,2017,23046
Marshall,2018,22952
Marshall,2019,22831
Mart,2010,1902
Mart,2011,1904
Mart,2012,1906
Mart,2013,1915
Mart,2014,1915
Mart,2015,1907
Mart,2016,1902
Mart,2017,1912
Mart,2018,1938
Mart,2019,1963
Martindale,2010,1132
Martindale,2011,1139
Martindale,2012,1151
Martindale,2013,1171
Martindale,2014,1211
Martindale,2015,1214
Martindale,2016,1224
Martindale,2017,1250
Martindale,2018,1252
Martindale,2019,1231
Mason,2010,2113
Mason,2011,2131
Mason,2012,2146
Mason,2013,2180
Mason,2014,2170
Mason,2015,2152
Mason,2016,2207
Mason,2017,2217
Mason,2018,2256
Mason,2019,2305
Matador,2010,612
Matador,2011,609
Matador,2012,607
Matador,2013,605
Matador,2014,584
Matador,2015,583
Matador,2016,595
Matador,2017,624
Matador,2018,627
Matador,2019,611
Mathis,2010,4908
Mathis,2011,4890
Mathis,2012,4944
Mathis,2013,4991
Mathis,2014,4994
Mathis,2015,4993
Mathis,2016,4872
Mathis,2017,4789
Mathis,2018,4748
Mathis,2019,4715
Maud,2010,1058
Maud,2011,1063
Maud,2012,1058
Maud,2013,1062
Maud,2014,1060
Maud,2015,1066
Maud,2016,1061
Maud,2017,1059
Maud,2018,1052
Maud,2019,1042
Maypearl,2010,922
Maypearl,2011,935
Maypearl,2012,940
Maypearl,2013,938
Maypearl,2014,949
Maypearl,2015,962
Maypearl,2016,994
Maypearl,2017,1030
Maypearl,2018,1031
Maypearl,2019,1032
Meadow,2010,595
Meadow,2011,586
Meadow,2012,587
Meadow,2013,593
Meadow,2014,593
Meadow,2015,591
Meadow,2016,592
Meadow,2017,583
Meadow,2018,585
Meadow,2019,585
Meadowlakes,2010,1665
Meadowlakes,2011,1676
Meadowlakes,2012,1680
Meadowlakes,2013,1684
Meadowlakes,2014,1699
Meadowlakes,2015,1722
Meadowlakes,2016,1736
Meadowlakes,2017,1729
Meadowlakes,2018,1709
Meadowlakes,2019,1703
Meadows Place,2010,4627
Meadows Place,2011,4632
Meadows Place,2012,4644
Meadows Place,2013,4684
Meadows Place,2014,4707
Meadows Place,2015,4715
Meadows Place,2016,4709
Meadows Place,2017,4652
Meadows Place,2018,4623
Meadows Place,2019,4591
Megargel,2010,204
Megargel,2011,197
Megargel,2012,196
Megargel,2013,196
Megargel,2014,197
Megargel,2015,195
Megargel,2016,195
Megargel,2017,194
Megargel,2018,192
Megargel,2019,188
Melissa,2010,4844
Melissa,2011,5276
Melissa,2012,5651
Melissa,2013,6242
Melissa,2014,6802
Melissa,2015,7540
Melissa,2016,8562
Melissa,2017,9187
Melissa,2018,10107
Melissa,2019,12117
Melvin,2010,177
Melvin,2011,178
Melvin,2012,177
Melvin,2013,176
Melvin,2014,176
Melvin,2015,177
Melvin,2016,174
Melvin,2017,168
Melvin,2018,168
Melvin,2019,168
Memphis,2010,2294
Memphis,2011,2259
Memphis,2012,2227
Memphis,2013,2155
Memphis,2014,2096
Memphis,2015,2107
Memphis,2016,2119
Memphis,2017,2069
Memphis,2018,2055
Memphis,2019,2012
Menard,2010,1463
Menard,2011,1453
Menard,2012,1447
Menard,2013,1404
Menard,2014,1398
Menard,2015,1401
Menard,2016,1373
Menard,2017,1386
Menard,2018,1392
Menard,2019,1404
Mercedes,2010,15774
Mercedes,2011,16063
Mercedes,2012,16286
Mercedes,2013,16333
Mercedes,2014,16466
Mercedes,2015,16491
Mercedes,2016,16494
Mercedes,2017,16584
Mercedes,2018,16609
Mercedes,2019,16604
Meridian,2010,1513
Meridian,2011,1508
Meridian,2012,1500
Meridian,2013,1471
Meridian,2014,1460
Meridian,2015,1474
Meridian,2016,1480
Meridian,2017,1497
Meridian,2018,1516
Meridian,2019,1515
Merkel,2010,2593
Merkel,2011,2597
Merkel,2012,2625
Merkel,2013,2604
Merkel,2014,2622
Merkel,2015,2625
Merkel,2016,2602
Merkel,2017,2606
Merkel,2018,2613
Merkel,2019,2617
Mertens,2010,125
Mertens,2011,125
Mertens,2012,125
Mertens,2013,124
Mertens,2014,123
Mertens,2015,123
Mertens,2016,124
Mertens,2017,126
Mertens,2018,127
Mertens,2019,128
Mertzon,2010,786
Mertzon,2011,779
Mertzon,2012,768
Mertzon,2013,787
Mertzon,2014,769
Mertzon,2015,751
Mertzon,2016,760
Mertzon,2017,734
Mertzon,2018,734
Mertzon,2019,743
Mesquite,2010,139963
Mesquite,2011,141520
Mesquite,2012,143365
Mesquite,2013,143604
Mesquite,2014,144508
Mesquite,2015,144988
Mesquite,2016,144681
Mesquite,2017,144218
Mesquite,2018,142520
Mesquite,2019,140937
Mexia,2010,7477
Mexia,2011,7493
Mexia,2012,7541
Mexia,2013,7446
Mexia,2014,7445
Mexia,2015,7406
Mexia,2016,7393
Mexia,2017,7354
Mexia,2018,7330
Mexia,2019,7344
Miami,2010,594
Miami,2011,595
Miami,2012,605
Miami,2013,591
Miami,2014,587
Miami,2015,585
Miami,2016,585
Miami,2017,605
Miami,2018,578
Miami,2019,550
Midland,2010,111276
Midland,2011,113941
Midland,2012,119794
Midland,2013,124163
Midland,2014,128352
Midland,2015,133440
Midland,2016,134935
Midland,2017,136205
Midland,2018,142173
Midland,2019,146038
Midlothian,2010,23056
Midlothian,2011,23593
Midlothian,2012,23963
Midlothian,2013,24741
Midlothian,2014,25536
Midlothian,2015,26558
Midlothian,2016,27960
Midlothian,2017,29472
Midlothian,2018,31271
Midlothian,2019,33532
Midway,2010,229
Midway,2011,228
Midway,2012,228
Midway,2013,227
Midway,2014,229
Midway,2015,231
Midway,2016,232
Midway,2017,235
Midway,2018,237
Midway,2019,236
Milano,2010,416
Milano,2011,415
Milano,2012,408
Milano,2013,407
Milano,2014,405
Milano,2015,410
Milano,2016,416
Milano,2017,422
Milano,2018,423
Milano,2019,421
Mildred,2010,351
Mildred,2011,353
Mildred,2012,355
Mildred,2013,357
Mildred,2014,357
Mildred,2015,358
Mildred,2016,363
Mildred,2017,370
Mildred,2018,383
Mildred,2019,392
Miles,2010,859
Miles,2011,857
Miles,2012,845
Miles,2013,833
Miles,2014,843
Miles,2015,858
Miles,2016,853
Miles,2017,856
Miles,2018,855
Miles,2019,872
Milford,2010,728
Milford,2011,729
Milford,2012,727
Milford,2013,725
