city,year,population
Azle,2012,11124
Azle,2013,11204
Azle,2014,11419
Azle,2015,11605
Azle,2016,12010
Azle,2017,12480
Azle,2018,13318
Azle,2019,13351
Bailey,2010,289
Bailey,2011,288
Bailey,2012,286
Bailey,2013,287
Bailey,2014,287
Bailey,2015,286
Bailey,2016,291
Bailey,2017,296
Bailey,2018,303
Bailey,2019,305
Bailey's Prairie village,2010,726
Bailey's Prairie village,2011,736
Bailey's Prairie village,2012,747
Bailey's Prairie village,2013,749
Bailey's Prairie village,2014,756
Bailey's Prairie village,2015,764
Bailey's Prairie village,2016,761
Bailey's Prairie village,2017,771
Bailey's Prairie village,2018,775
Bailey's Prairie village,2019,773
Baird,2010,1491
Baird,2011,1484
Baird,2012,1485
Baird,2013,1472
Baird,2014,1465
Baird,2015,1470
Baird,2016,1485
Baird,2017,1502
Baird,2018,1499
Baird,2019,1486
Balch Springs,2010,23848
Balch Springs,2011,24320
Balch Springs,2012,24815
Balch Springs,2013,25023
Balch Springs,2014,25114
Balch Springs,2015,25234
Balch Springs,2016,25157
Balch Springs,2017,25314
Balch Springs,2018,25198
Balch Springs,2019,25007
Balcones Heights,2010,2769
Balcones Heights,2011,2801
Balcones Heights,2012,2832
Balcones Heights,2013,2860
Balcones Heights,2014,2899
Balcones Heights,2015,3244
Balcones Heights,2016,3279
Balcones Heights,2017,3289
Balcones Heights,2018,3296
Balcones Heights,2019,3296
Ballinger,2010,3767
Ballinger,2011,3761
Ballinger,2012,3699
Ballinger,2013,3648
Ballinger,2014,3671
Ballinger,2015,3704
Ballinger,2016,3660
Ballinger,2017,3652
Ballinger,2018,3618
Ballinger,2019,3642
Balmorhea,2010,481
Balmorhea,2011,483
Balmorhea,2012,490
Balmorhea,2013,503
Balmorhea,2014,521
Balmorhea,2015,540
Balmorhea,2016,549
Balmorhea,2017,557
Balmorhea,2018,576
Balmorhea,2019,595
Bandera,2010,859
Bandera,2011,853
Bandera,2012,844
Bandera,2013,835
Bandera,2014,837
Bandera,2015,842
Bandera,2016,875
Bandera,2017,885
Bandera,2018,895
Bandera,2019,900
Bangs,2010,1610
Bangs,2011,1600
Bangs,2012,1590
Bangs,2013,1575
Bangs,2014,1562
Bangs,2015,1567
Bangs,2016,1568
Bangs,2017,1557
Bangs,2018,1536
Bangs,2019,1527
Bardwell,2010,651
Bardwell,2011,654
Bardwell,2012,658
Bardwell,2013,665
Bardwell,2014,669
Bardwell,2015,677
Bardwell,2016,685
Bardwell,2017,689
Bardwell,2018,690
Bardwell,2019,689
Barry,2010,242
Barry,2011,242
Barry,2012,244
Barry,2013,244
Barry,2014,244
Barry,2015,245
Barry,2016,248
Barry,2017,252
Barry,2018,258
Barry,2019,264
Barstow,2010,347
Barstow,2011,349
Barstow,2012,353
Barstow,2013,365
Barstow,2014,376
Barstow,2015,376
Barstow,2016,371
Barstow,2017,367
Barstow,2018,377
Barstow,2019,386
Bartlett,2010,2711
Bartlett,2011,2720
Bartlett,2012,2740
Bartlett,2013,2744
Bartlett,2014,2748
Bartlett,2015,2745
Bartlett,2016,2729
Bartlett,2017,1736
Bartlett,2018,1750
Bartlett,2019,1758
Bartonville,2010,1573
Bartonville,2011,1608
Bartonville,2012,1629
Bartonville,2013,1642
Bartonville,2014,1666
Bartonville,2015,1687
Bartonville,2016,1708
Bartonville,2017,1742
Bartonville,2018,1745
Bartonville,2019,1785
Bastrop,2010,7371
Bastrop,2011,7354
Bastrop,2012,7464
Bastrop,2013,7599
Bastrop,2014,7783
Bastrop,2015,8245
Bastrop,2016,8454
Bastrop,2017,8837
Bastrop,2018,9105
Bastrop,2019,9242
Bay City,2010,17808
Bay City,2011,17768
Bay City,2012,17665
Bay City,2013,17590
Bay City,2014,17514
Bay City,2015,17757
Bay City,2016,17886
Bay City,2017,17727
Bay City,2018,17567
Bay City,2019,17535
Bayou Vista,2010,1535
Bayou Vista,2011,1533
Bayou Vista,2012,1541
Bayou Vista,2013,1546
Bayou Vista,2014,1556
Bayou Vista,2015,1577
Bayou Vista,2016,1600
Bayou Vista,2017,1620
Bayou Vista,2018,1634
Bayou Vista,2019,1633
Bayside,2010,327
Bayside,2011,327
Bayside,2012,325
Bayside,2013,328
Bayside,2014,333
Bayside,2015,334
Bayside,2016,330
Bayside,2017,331
Bayside,2018,319
Bayside,2019,320
Baytown,2010,71757
Baytown,2011,72500
Baytown,2012,73311
Baytown,2013,75334
Baytown,2014,75926
Baytown,2015,76286
Baytown,2016,76369
Baytown,2017,76693
Baytown,2018,76592
Baytown,2019,77192
Bayview,2010,373
Bayview,2011,375
Bayview,2012,378
Bayview,2013,379
Bayview,2014,379
Bayview,2015,380
Bayview,2016,384
Bayview,2017,385
Bayview,2018,384
Bayview,2019,389
Beach City,2010,2296
Beach City,2011,2334
Beach City,2012,2390
Beach City,2013,2450
Beach City,2014,2521
Beach City,2015,2562
Beach City,2016,2608
Beach City,2017,2655
Beach City,2018,2685
Beach City,2019,2792
Bear Creek village,2010,382
Bear Creek village,2011,387
Bear Creek village,2012,390
Bear Creek village,2013,396
Bear Creek village,2014,404
Bear Creek village,2015,420
Bear Creek village,2016,437
Bear Creek village,2017,447
Bear Creek village,2018,464
Bear Creek village,2019,480
Beasley,2010,652
Beasley,2011,654
Beasley,2012,659
Beasley,2013,669
Beasley,2014,673
Beasley,2015,679
Beasley,2016,682
Beasley,2017,678
Beasley,2018,675
Beasley,2019,677
Beaumont,2010,117378
Beaumont,2011,117908
Beaumont,2012,117033
Beaumont,2013,118068
Beaumont,2014,117812
Beaumont,2015,118603
Beaumont,2016,118734
Beaumont,2017,118953
Beaumont,2018,117667
Beaumont,2019,116825
Beckville,2010,846
Beckville,2011,853
Beckville,2012,852
Beckville,2013,846
Beckville,2014,841
Beckville,2015,838
Beckville,2016,830
Beckville,2017,823
Beckville,2018,821
Beckville,2019,823
Bedford,2010,47076
Bedford,2011,47558
Bedford,2012,48091
Bedford,2013,48415
Bedford,2014,48760
Bedford,2015,49161
Bedford,2016,49530
Bedford,2017,49580
Bedford,2018,49466
Bedford,2019,49049
Bedias,2010,443
Bedias,2011,444
Bedias,2012,444
Bedias,2013,443
Bedias,2014,448
