city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng
Plano,Plano,TX,Texas,48085,Collin County,33.0502,-96.7486
Myrtle Beach,Myrtle Beach,SC,South Carolina,45051,Horry County,33.7094,-78.8844
Davenport,Davenport,IA,Iowa,19163,Scott County,41.5565,-90.6053
Canton,Canton,OH,Ohio,39151,Stark County,40.8078,-81.3676
Santa Clarita,Santa Clarita,CA,California,06037,Los Angeles County,34.4175,-118.4964
Chula Vista,Chula Vista,CA,California,06073,San Diego County,32.6281,-117.0144
Eugene,Eugene,OR,Oregon,41039,Lane County,44.0564,-123.1174
Chandler,Chandler,AZ,Arizona,04013,Maricopa County,33.2825,-111.8514
Salem,Salem,OR,Oregon,41047,Marion County,44.9233,-123.0244
Concord,Concord,NC,North Carolina,37025,Cabarrus County,35.3933,-80.6369
Gilbert,Gilbert,AZ,Arizona,04013,Maricopa County,33.31,-111.7463
Columbus,Columbus,GA,Georgia,13215,Muscogee County,32.51,-84.8771
Aguadilla,Aguadilla,PR,Puerto Rico,72005,Aguadilla County,18.4382,-67.1537
Lubbock,Lubbock,TX,Texas,48303,Lubbock County,33.5657,-101.8879
North Las Vegas,North Las Vegas,NV,Nevada,32003,Clark County,36.2883,-115.0888
St. Petersburg,St. Petersburg,FL,Florida,12103,Pinellas County,27.7931,-82.6652
Tallahassee,Tallahassee,FL,Florida,12073,Leon County,30.4551,-84.2527
Laredo,Laredo,TX,Texas,48479,Webb County,27.5625,-99.4874
Peoria,Peoria,IL,Illinois,17143,Peoria County,40.752,-89.6154
Avondale,Avondale,AZ,Arizona,04013,Maricopa County,33.3873,-112.3235
Lafayette,Lafayette,LA,Louisiana,22055,Lafayette County,30.2082,-92.0325
Irving,Irving,TX,Texas,48113,Dallas County,32.8583,-96.9702
Montgomery,Montgomery,AL,Alabama,01101,Montgomery County,32.3482,-86.2668
Visalia,Visalia,CA,California,06107,Tulare County,36.3276,-119.3269
McKinney,McKinney,TX,Texas,48085,Collin County,33.2016,-96.667
Wilmington,Wilmington,NC,North Carolina,37129,New Hanover County,34.2099,-77.8866
Chesapeake,Chesapeake,VA,Virginia,51550,Chesapeake County,36.6778,-76.3023
Glendale,Glendale,AZ,Arizona,04013,Maricopa County,33.5791,-112.2311
Garland,Garland,TX,Texas,48113,Dallas County,32.91,-96.6304
Kennewick,Kennewick,WA,Washington,53005,Benton County,46.1978,-119.1732
Winter Haven,Winter Haven,FL,Florida,12105,Polk County,28.0118,-81.7014
